isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments
15895,1,1001266,91.0,7503.0,19840626,E,137032,42,ANN STREET,,,V*062684E137032,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19950921.0,
15897,1,1001266,91.0,7503.0,19880824,E,110655/4,42,ANN STREET,,,V*082488E110655/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19950921.0,
12656,1,1001266,91.0,7503.0,19840223,LL5,MIN1297,42,ANN STREET,,,V*022384LL5MIN1297,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE,20130925.0,OK TO DISM AS PER DISM/NOTICE DATED 9/202013
24186,1,1001269,92.0,5.0,19881117,E,1179A/01,161,WILLIAM ST,1P22706,,V*111788E1179A/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900123.0,111-75
24187,1,1001269,92.0,5.0,19881117,E,1179A/03,161,WILLIAM ST,1P22704,,V*111788E1179A/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900123.0,111-75
31228,1,1001269,92.0,5.0,19881117,E,1179A/3,161,WILLIAM ST,1P22704,,V*111788E1179A/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900123.0,111-75
24189,1,1001269,92.0,5.0,19881117,E,1179A/02,161,WILLIAM ST,1P22707,,V*111788E1179A/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900323.0,
31230,1,1001269,92.0,7502.0,19881117,E,1179A/1,161,WILLIAM ST,1P22706,,V*111788E1179A/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900123.0,111-75
31227,1,1001269,92.0,7502.0,19881117,E,1179A/2,161,WILLIAM ST,1P22707,,V*111788E1179A/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901105.0,
25085,1,1001272,92.0,17.0,19881121,E,117101/02,47,ANN ST,1P2116,(51)RESTORE ELEV TO PROPER WORKING ORDER SO A COMPLETE INSPECTION               CAN BE PERFORMED BY THIS DEPARTMENT,V*112188E117101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900410.0,
24162,1,1001278,92.0,32.0,19881116,E,117101/02,19,BEEKMAN ST,1F265,(44)PROPERLY WIRE &PIPES (51)REWIRE HOISTWAY DOOR LOCKS & GATE                  FROM CONTROLLER DOWN(52)REMOVE WIRE USE AS FUSES & PROPERLY FUSE                CONTROLLER (53)PROPERLY WIRE & PIPE MOTOR ROOM LIGHTS (NOT FEEDING              OFF OF-CONTROLLER),V*111688E117101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910402.0,
24164,1,1001278,92.0,32.0,19881116,E,117101/01,19,BEEKMAN ST,1P1034,(51) REMOVE DRAINAGE PIPE INSTALLED IN MOTOR ROOM OVER CONTROLLER,V*111688E117101/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910429.0,
24705,1,1001279,92.0,34.0,19881115,E,117101/02,23,BEEKMAN STREET,1F5197,,V*111588E117101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920114.0,
27014,1,1001279,92.0,34.0,19881115,E,117101\01,23,BEEKMAN STREET,1F5196,,V*111588E117101\01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920114.0,
25523,1,1001280,93.0,1.0,19881107,E,1383A-01,150,WILLIAM STREET,1P15650,(01)  REMOVE TEMPORARY WIRING FROM'S CONTROLLER,V*110788E1383A-01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891010.0,
25400,1,1001280,93.0,1.0,19881107,E,1383A/01,150,WILLIAM STREET,1P15650,1)REMOVE TEMPORARY WIRING FROM 'S'CONTROLLER,V*110788E1383A/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891010.0,
25521,1,1001280,93.0,1.0,19881107,E,1383A-02,150,WILLIAM STREET,1P18941,(45)  REMOVE WATER FROM PIT                                                          (51)  REPAIR CAB FLOORING,V*110788E1383A-02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910425.0,
26898,1,1001280,93.0,1.0,19881107,E,1383A/.02,150,WILLIAM STREET,1P18941,45)REMOVE WATER FROM PIT 51)REPAIR CAB FLOORING,V*110788E1383A/.02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920116.0,
158264,1,1001280,93.0,1.0,19870508,LL10/81,SS00095,81,FULTON STREET,,,V*050887LL10/81SS00095,V*-DOB VIOLATION - DISMISSED,LL10/81-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,19920603.0,"LL1081 16 ELEVATORS FILED ON TIME, 2 ELEVATORS DISMANTLED"
26749,1,1001281,93.0,20.0,19881114,E,1179A/01,156,WILLIAM ST,1P581,(01) RENEW/REPAIR JUMPER (51) RESHACKLE CAR AND CUT (52) RENEW  C               ONTACTS ON CONTROLLER,V*111488E1179A/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890815.0,
21752,1,1001281,93.0,20.0,19880627,E,142611,156,WILLIAM STREET,,,V*062788E142611,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881128.0,303-83
26682,1,1001281,93.0,7501.0,19881114,E,1179A-01,156,WILLIAM ST,1P581,(01)  REMOVE/ REPAIR JUMPER (51)  RESHACKLE CAR AND CWT                         (52) RENEW CONTACTS ON CONTROLLER,V*111488E1179A-01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890815.0,
4622,1,1001318,96.0,1.0,19880822,E,110635/2,1,FULTON ST,1E1289,CLEAN PIT & PAINT EQUIPMENT IN SAME DUE TO WATER DAMAGE,V*082288E110635/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890427.0,088-75
4628,1,1001318,96.0,1.0,19880822,E,110635/5,1,FULTON ST,1E1290,CLEAN PIT & PAINT EQUIPMENT IN SAME DUE TO WATER DAMAGE,V*082288E110635/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890427.0,088-75
4630,1,1001318,96.0,1.0,19880823,E,110635/1,1,FULTON ST,1P32573,(15) SECURE (51) REPLACE GLASS PANELS ON MAIN FLOOR 3 ARE GRACKED               (52) PROVIDE NO SMOKING SIGNS,V*082388E110635/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890424.0,083-75
4637,1,1001318,96.0,1.0,19880823,E,110635/2,1,FULTON ST,1P32571,(51) PROVIDE NO SMOKING SIGNS IS SECURE,V*082388E110635/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890424.0,083-75
38718,1,1001318,96.0,1.0,19880823,E,110635/3,1,FULTON ST,1P32572,(51) PROPERLY SECURE PHONE BOX IN CAB (52) PROVIDE NO SMOKING                   SIGN,V*082388E110635/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890424.0,083-75
4635,1,1001318,96.0,1.0,19880823,E,110635/4,1,FULTON ST,1P32570,(51)PROVIDE NO SMOKING SIGN (52)REPAIR CAB FLOOR,V*082388E110635/4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890424.0,083-75
4634,1,1001318,96.0,1.0,19880823,E,110635/5,1,FULTON ST,1P32569,(51) PROVIDE NO SMOKING SIGN,V*082388E110635/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890424.0,083-75
22429,1,1001354,100.0,26.0,19881122,E,117101-01,12,BEEKMAN ST,1P1379,(51) REPAIR PARKING DEVICE (52) INSTALL FLOORING IN FRONT CONTROL               LER (53) PROVIDE ORIGINAL CERT AND CERTIFICATE FRAMES SO CARDCAN BE SI          GNED BY THIS DEPARTMENT  (35)  PROVIDE COVERS,V*112288E117101-01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890731.0,
22433,1,1001354,100.0,26.0,19881122,E,117101-02,12,BEEKMAN ST,1P1380,(51) PROVIDE ORIGINAL CERTIFICATE SO CARD CAN BE SIGNED BY THIS                       DEPARTMENT  (52)  REPAIR MOTOR ROOM WALLS &  WATER PROOF SAME                         (01) PROPERLY FUSE,V*112288E117101-02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890731.0,
31690,1,1001354,100.0,26.0,19881122,E,117101-03,12,BEEKMAN ST,1S266,(51)  FILE NECS PAPER WORK WITH THIS DEPARTMENT FOR THE                         REMOVAL OF SIDE WALK ELEVATOR,V*112288E117101-03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900821.0,039-74
26487,1,1001355,101.0,1.0,19881222,E,1196A\2,38,PARK ROW,1P1348,(51)PROPERLY FILE THE NECESSARY PAPERS FOR THE LEGAL REMOVAL OF                 ELEVATOR P 1348,V*122288E1196A\2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19881222.0,VIOLATION WRITTEN IN ERROR ELEVATOR WAS REMOVED UNDER BN 2028/88 S/O 10/25/88
437006,1,1001380,107.0,35.0,19880916,LANDMK,89-0177,244,FRONT STREET,,,V091688LANDMK89-0177,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK                                                        NONE,,
74008,1,1001380,107.0,35.0,19880916,LANDMRK,VIOL,244,FRONT STREET,,,V091688LANDMRKVIOL,V-DOB VIOLATION - ACTIVE,LANDMRK-LANDMARK                                                        NONE,,
74167,1,1001382,107.0,44.0,19880226,LANDMRK,VIOL,265,WATER STREET,,,V*022688LANDMRKVIOL,V*-DOB VIOLATION - DISMISSED,LANDMRK-LANDMARK                                                        NONE,19980316.0,
2857,1,1001389,113.0,150.0,19880802,E,1156A/3,375,PEARL ST,1P30665,,V*080288E1156A/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890920.0,
2856,1,1001389,113.0,150.0,19880802,E,1156A/2,375,PEARL ST,1P5381,,V*080288E1156A/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19980204.0,CIAJMD
2858,1,1001389,113.0,7501.0,19880802,E,1156A/1,375,PEARL ST,1P30641,RENEW TRAVELING CABLE,V*080288E1156A/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890920.0,
14690,1,1001394,121.0,1.0,19880825,E,0241A/1,1,CENTRE STREET,1P1464,CEASE USE -ELEV. UNTIL SUCH TIME ALL OPERATIONAL SAFETY TESTS                   CAN BE CONDUCTED AND WITNESSED BY AN INSPECTOR OF THIS DEPT,V*082588E0241A/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890914.0,
20333,1,1001399,124.0,4.0,19881021,E,1449101/02,9,PARK PL,1P15883,(11)MAKE ALARM BELL RING TOP OF CAR,V*102188E1449101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890620.0,102-75
20341,1,1001399,124.0,4.0,19881021,E,1449101/05,9,PARK PL,1P15887,(51)RENEW WORN CABLE,V*102188E1449101/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890620.0,102-75
20314,1,1001399,124.0,4.0,19881021,E,1449101/01,9,PARK PL,1P15882,(11)TO RING TOP OF CAR.(51)REPAIR OR ADJUST SLOW DOWN.(52)RESTORE               PHOTO EYE SYSTEM TO PROPER WORKING ORDER,V*102188E1449101/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891004.0,
20338,1,1001399,124.0,4.0,19881021,E,1449101/03,9,PARK PL,1P15884,(12)HANDLE,V*102188E1449101/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891004.0,
20339,1,1001399,124.0,4.0,19881021,E,1449101/04,9,PARK PL,1P15885,,V*102188E1449101/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19891004.0,
420951,1,1001399,124.0,4.0,19801008,LL5,101,9,PARK PLACE,,,V*100880LL5101,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE,19951018.0,FINAL AMENDMENT SUBMITTED COMPLYING WITHLL5/73.  S/O - 101895
24114,1,1001400,124.0,7.0,19881109,E,1156A/03,17,PARK PL,1S299,51)RESTORE TO SERVICE OR FILE WITH THIS DEPT AND OBTAIN A PERMIT                TO PROPERLY DISMANTLE OR REMOVE SOME,V*110988E1156A/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910506.0,
24109,1,1001400,124.0,7.0,19881109,E,1156A/04,17,PARK PL,1P6688,"21,24)RESHACKLE 15)SECURE 51)WIND TILLAR ROBE PROPERLY",V*110988E1156A/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910506.0,
9857,1,1001402,124.0,9.0,19880714,C,A1LB01,21,PARK PLACE,,,V*071488CA1LB01,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19921002.0,
36065,1,1001403,124.0,10.0,19881214,E,117101/02,23,PARK PL,1S203,,V*121488E117101/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19951026.0,
27822,1,1001403,124.0,10.0,19881214,E,117101\01,23,PARK PL,1F465,(47)ACCESS (51)CEASE USE TILL TOP HALF OF SHAFTWAY IS REPAIRED                  AND BRACES FOR STEEL FLOOR OVERHEAD IS STORED IN  (52)REMOVE ALL                DEBRIS FROM LEDGES IN HOISTWAY,V*121488E117101\01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19951026.0,
38348,1,1001405,124.0,12.0,19880103,E,147314,27,PARK PLACE,,,V*010388E147314,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890411.0,
34694,1,1001408,124.0,24.0,19881227,E,14731-1,2 - 4,MURRAY STREET,1P25806,,V*122788E14731-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890828.0,
34696,1,1001408,124.0,24.0,19881227,E,14731-2,2 - 4,MURRAY STREET,1P25928,(45)  FIRE HAZARD,V*122788E14731-2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890829.0,
44003,1,1001408,124.0,24.0,19880422,E,142651,240,BROADWAY,,,V*042288E142651,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890124.0,
27791,1,1001409,125.0,20.0,19881228,E,14731\1,100,CHURCH STREET,1P23841,(21)PROVIDE PROPER CLEARANCE COUNTERWEIGHT TO BUFFER                            (51)TAG AND DATE GOVERNOR INDICATING RECENT 5 YR TEST,V*122888E14731\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901020.0,102-75
27931,1,1001409,125.0,20.0,19881228,E,14731\2,100,CHURCH STREET,1P23844,(51)TAG AND DATE GOVERNOR INDICATING RECENT  5 YR TEST,V*122888E14731\2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901020.0,102-75
29369,1,1001409,125.0,20.0,19881228,E,14731\3,100,CHURCH STREET,1P23845,(51)TAG AND DATE GOVERNOR INDICATING RECENT 5 YR TEST,V*122888E14731\3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901029.0,
27785,1,1001409,125.0,20.0,19881229,E,14731\1,100,CHURCH STREET,1P23845,(51)PROVIDE PROPER LIGHTING IN SECONDARY ROOM (52)TAG AND DATE                  GOVERNOR INDICATING RECENT 5 YR TEST,V*122988E14731\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900423.0,102-75
28879,1,1001409,125.0,20.0,19881230,E,147301/01,100,CHURCH STREET,1P23851,51)TAG AND DATE GOVERNOR INDICATING RECENT 5YRS TEST,V*123088E147301/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901015.0,102-75
28881,1,1001409,125.0,20.0,19881230,E,147301/02,100,CHURCH STREET,1P23852,51)TAG AND DATE GOVERNOR INDICATING RECENT 5YRS TEST,V*123088E147301/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901015.0,102-75
28875,1,1001409,125.0,20.0,19881230,E,147301/03,100,CHURCH STREET,1P23857,51)TAG AND DATE GOVERNOR INDICATING RECENT 5YRS TEST,V*123088E147301/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901015.0,102-75
28874,1,1001409,125.0,20.0,19881230,E,147301/04,100,CHURCH STREET,1P23858,51)TAG AND DATE GOVERNOR INDICATING RECENT 5YRS TEST,V*123088E147301/04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19901015.0,102-75
19087,1,1001412,126.0,13.0,19880504,E,144911,53,PARK PLACE,,,V*050488E144911,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890119.0,89-75
49892,1,1001416,128.0,2.0,19881114,E,1156A/1,224,GREENWICH STREE,1P32266,(51) PROPERLY TAG GOVERNOR TO SHOW 5 YR SAFETY TESTS                            (52) REPAIR ACCESS CONTROL PANEL LOCK,V*111488E1156A/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,20050124.0,CIACGR ADM.DISM.
49891,1,1001416,128.0,2.0,19881114,E,1156A/2,224,GREENWICH STREE,1P32268,(51) PROPERLY TAG GOVERNOR TO SHOW 5 YR SAFETY TESTS,V*111488E1156A/2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,20050124.0,CIACGR ADM.DISM.
49890,1,1001416,128.0,2.0,19881114,E,1156A/3,224,GREENWICH STREE,1P32269,(51).PROPERLY TAG GOVERNOR TO SHOW 5 YR SAFETY TESTS,V*111488E1156A/3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,20050124.0,CIACGR ADM.DISM
25776,1,1001418,132.0,1.0,19881219,E,1383A\01,62,W BWAY,1P1244,(09)REPAIR CAR SWITCH HANDLE SO IT RETURNS TO NEUTRAL (51)PROVIDE               ANNUNCIATOR (52)PROPERLY DATE AND TAG GOVERNOR,V*121988E1383A\01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19930312.0,
22233,1,1001420,132.0,3.0,19881122,E,1156A-7,69,MURRAY ST,1P1333,,V*112288E1156A-7,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900410.0,
24188,1,1001422,132.0,6.0,19881114,E,1156A/07,75,MURRAY ST,1P1336,25)RESHACKLE 32)BASEMENT 46)2ND FLR,V*111488E1156A/07,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19930312.0,
24932,1,1001424,132.0,9.0,19881114,E,1156 A/06,81,MURRAY ST,1P32966,51)TAG GOV TO SHOW 5YRS SAFETY TEST 1)FUSE JUMPED 52)SCREEN OFF                 LEDGER AT WINDOW LANDINGS 53)PROVIDE ELEV CO AT MAIN LINE DISCONNECT,V*111488E1156 A/06,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19921013.0,
10354,1,1001429,132.0,24.0,19880927,C,A1LB05,79,WARREN STREET,,,V*092788CA1LB05,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19881205.0,
24537,1,1001430,132.0,25.0,19881115,E,1179A/05,77,WARREN STREET,1S361,(51) REPAIR GRATING AT FLOOR LEVEL ON SIDE WALK #361. (52) RETURN               TO SERVICE OR FILE TO REMOVE,V*111588E1179A/05,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19991124.0,CIACGR ADM.DISM.
24810,1,1001430,132.0,25.0,19881115,E,1179A/5,77,WARREN STREET,1S361,(51) REPAIR GRATING AT FLOOR LEVEL ON S/W #361. (52) RETURN TO                  SERVICE OR FILE TO REMOVE,V*111588E1179A/5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19991124.0,CIACGR ADM.DISM.
10197,1,1001430,132.0,25.0,19881116,C,A2LB03,77,WARREN STREET,,,V*111688CA2LB03,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19991207.0,AML
11273,1,1001433,132.0,28.0,19881116,C,A2LB02,71,WARREN STREET,,,V*111688CA2LB02,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19911023.0,
24600,1,1001434,133.0,3.0,19881116,E,1156A/02,37,MURRAY ST,1P6436,(50)PROVIDE CWT GUARD GUARD IN PIT (52)PROVIDE FIREMANS BARS OVER                GLASS HOISTWAY ROOF (53)SECURE ROPE GUARD PROPER PROPERLY IN MOTOR             ROOM,V*111688E1156A/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910508.0,030-74
22817,1,1001436,133.0,8.0,19881128,E,1156A\1,47,MURRAY ST,1P1651,"(21,24)RESHACKLE (51)PROPERLY TAG GOV TO SHOW 5 YR SAFETY TEST",V*112888E1156A\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19930311.0,
32192,1,1001438,133.0,10.0,19881123,E,1156A-2,51,MURRAY ST,1P27147,(51)  REPAIR CAB FLOOR                                                               (52)  COVER LITE IN CAB,V*112388E1156A-2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910904.0,
23064,1,1001439,133.0,11.0,19881123,E,1156A-1,53,MURRAY STREET,1F564,,V*112388E1156A-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890414.0,
19083,1,1001442,133.0,7509.0,19880525,E,115612,55,WARREN STREET,,,V052588E115612,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,,DELETED BY BWE ON 01/05/96 BECAUSE BIN WAS SET-UP WITH WRONG BIN #.
51611,1,1001445,133.0,1002.0,19881116,E,1156A-01,41,MURRAY ST,1P13319,(47)PROVIDE ACCESS TO MOTOR ROOM AND ALL FLOORS,V*111688E1156A-01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890202.0,266-81
24825,1,1001451,134.0,8.0,19881118,E,11331/1,27,WARREN ST,1P11227,(51) RESTORE TO SERVICE,V*111888E11331/1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19990825.0,CIACGR ADM.DISM.
11327,1,1001451,134.0,8.0,19881205,C,A1LB01,27,WARREN STREET,,,V120588CA1LB01,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,,
28120,1,1001453,134.0,11.0,19881118,E,113301/02,125,CHURCH ST,1P1328,51)POST & NUMBER OF CO IN MTRM ACCORDING TO LOCAL LAW 10                        52)PROVIDE KNIFE SW DISCONNECTS IN MTRM FOR ELEV ACCORDING TO CODE              1)WORN CONTACTS 53)SECURE PIPING IN MTRM,V*111888E113301/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19900417.0,
24975,1,1001456,134.0,18.0,19881121,E,113301/02,19,WARREN ST,1S389,(51)FILE WITH DEPT FOR INSTALLATION OF NEW CONTROLLER (52) MAKE                 BELL RING WHEN ELEV IS RISING,V*112188E113301/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19920819.0,051001
27121,1,1001456,134.0,18.0,19881121,E,11331-1,19,WARREN ST,1P19157,(51)  PROPERLY WIRE GOV. BX  (52)  INSTALL OUTSIDE COMMUNICATION,V*112188E11331-1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19930310.0,
24959,1,1001458,134.0,21.0,19881121,E,113301/03,15,WARREN ST,1P11327,(51)RESTORE TO SERVICE,V*112188E113301/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890214.0,197-77
22137,1,1001461,135.0,9.0,19881122,E,11331-7,20,WARREN ST,1P1639,(51)  PROVIDE DESIGNATED OPERATOR AT ALL TIMES PROVIDE                                     ACCESS TO OVER HEAD SHEAVE ROOM,V*112288E11331-7,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910226.0,ECB ISSUED
22148,1,1001461,135.0,9.0,19881122,E,11331-8,20,WARREN ST,1S402,(51)  RESTORE SERVICE,V*112288E11331-8,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910226.0,ECB ISSUED
22142,1,1001462,135.0,10.0,19881122,E,11331-9,22,WARREN ST,1F574,(51)  RESTORE TO SERVICE,V*112288E11331-9,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19930312.0,
22081,1,1001463,135.0,11.0,19881122,E,11331-10,26,WARREN ST,1P31028,(51)  RESTORE TO SERVICE,V*112288E11331-10,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19910226.0,ECB ISSUED
12227,1,1001470,135.0,21.0,19881128,C,A3RD02,90,CHAMBERS STREET,,,V*112888CA3RD02,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL,19890503.0,
16967,1,1001477,136.0,10.0,19881012,E,142636/01,122,CHAMBERS ST,1P7106,(51) PROVIDE ANNUNCIATOR (52) PROVIDE PART FOR DEVICE (53) SHORT-               EN GOV TENSION FRAME,V*101288E142636/01,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890316.0,050-74
16973,1,1001477,136.0,10.0,19881012,E,142636/02,122,CHAMBERS ST,1P7099,(51) PUT BACK TO SERVICE SO A PROPER INSPECTION CAN BE MADE                     (52) PROVIDE ANNUNCIATOR (53) PROVIDE PARKING DEVICE,V*101288E142636/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890316.0,050-74
24172,1,1001478,136.0,11.0,19881114,E,1179A-02,54,WARREN ST,1P1868,(46) .REMOVE PLASTIC (52) PROPERLY WRAP CABLE ON DRUM                                (53)  ELIMINATE EXCESSIVE NOISE ON HOIST MOTOR,V*111488E1179A-02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,19890228.0,050-74
